set_index,jobs,machines,mode,objective,minmin_value,aco_value,improvement_percent,minmin_makespan,aco_makespan,minmin_weighted_flow,aco_weighted_flow,minmin_weighted_tardiness,aco_weighted_tardiness,minmin_weighted_tardy_jobs,aco_weighted_tardy_jobs
0,12,3,static,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,162,162,241.1800000000,241.1800000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1,12,3,static,weighted_tardy_jobs,3.6400000000,2.2100000000,39.285714,147,165,237.1800000000,322.8300000000,91.5300000000,175.3200000000,3.6400000000,2.2100000000
2,12,3,static,weighted_tardy_jobs,0.3700000000,0.0000000000,100.000000,115,121,136.3400000000,160.1300000000,2.5900000000,0.0000000000,0.3700000000,0.0000000000
3,12,3,static,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,180,180,351.9800000000,351.9800000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
4,12,3,static,weighted_tardy_jobs,1.0200000000,1.0200000000,0.000000,180,180,144.0700000000,144.0700000000,36.0000000000,36.0000000000,1.0200000000,1.0200000000
5,25,3,static,weighted_tardy_jobs,5.2200000000,5.2200000000,0.000000,362,362,632.8600000000,632.8600000000,348.0300000000,348.0300000000,5.2200000000,5.2200000000
6,25,3,static,weighted_tardy_jobs,2.5200000000,1.5800000000,37.301587,389,445,781.6700000000,830.9100000000,161.6500000000,166.7400000000,2.5200000000,1.5800000000
7,25,3,static,weighted_tardy_jobs,5.1400000000,4.0300000000,21.595331,342,362,753.9700000000,824.7100000000,514.4900000000,541.5400000000,5.1400000000,4.0300000000
8,25,3,static,weighted_tardy_jobs,0.8800000000,0.0000000000,100.000000,337,346,709.2900000000,746.7900000000,7.0400000000,0.0000000000,0.8800000000,0.0000000000
9,25,3,static,weighted_tardy_jobs,1.1300000000,0.2500000000,77.876106,354,371,515.9200000000,520.3100000000,38.0700000000,42.0000000000,1.1300000000,0.2500000000
10,50,3,static,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,641,641,1578.8200000000,1578.8200000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
11,50,3,static,weighted_tardy_jobs,0.2500000000,0.2500000000,0.000000,601,601,1375.1100000000,1375.1100000000,17.7500000000,17.7500000000,0.2500000000,0.2500000000
12,50,3,static,weighted_tardy_jobs,0.4400000000,0.4400000000,0.000000,555,555,1276.6200000000,1276.6200000000,60.2800000000,60.2800000000,0.4400000000,0.4400000000
13,50,3,static,weighted_tardy_jobs,3.3500000000,3.3500000000,0.000000,597,597,1328.1100000000,1328.1100000000,338.6200000000,338.6200000000,3.3500000000,3.3500000000
14,50,3,static,weighted_tardy_jobs,2.1000000000,2.0700000000,1.428571,666,666,2649.6900000000,2678.4500000000,437.5500000000,412.1500000000,2.1000000000,2.0700000000
15,100,3,static,weighted_tardy_jobs,0.1700000000,0.1700000000,0.000000,1268,1268,4430.9100000000,4430.9100000000,17.1700000000,17.1700000000,0.1700000000,0.1700000000
16,100,3,static,weighted_tardy_jobs,17.7900000000,17.7400000000,0.281057,1244,1244,4560.3200000000,4676.6300000000,1353.6500000000,1398.2300000000,17.7900000000,17.7400000000
17,100,3,static,weighted_tardy_jobs,3.1300000000,2.2800000000,27.156550,1148,1146,4246.2400000000,4346.1200000000,238.9300000000,256.5600000000,3.1300000000,2.2800000000
18,100,3,static,weighted_tardy_jobs,2.5400000000,1.6000000000,37.007874,1266,1424,6515.9800000000,6801.6300000000,796.9900000000,952.0500000000,2.5400000000,1.6000000000
19,100,3,static,weighted_tardy_jobs,7.3500000000,6.9800000000,5.034014,1079,1079,4736.3200000000,4718.2300000000,874.2000000000,865.3200000000,7.3500000000,6.9800000000
20,12,3,static,weighted_tardy_jobs,0.4500000000,0.4500000000,0.000000,170,170,265.1300000000,265.1300000000,0.9000000000,0.9000000000,0.4500000000,0.4500000000
21,12,3,static,weighted_tardy_jobs,1.8100000000,1.0500000000,41.988950,155,167,283.5600000000,268.2900000000,61.3400000000,60.8200000000,1.8100000000,1.0500000000
22,12,3,static,weighted_tardy_jobs,1.2900000000,1.2900000000,0.000000,171,171,231.2400000000,231.2400000000,115.1100000000,115.1100000000,1.2900000000,1.2900000000
23,12,3,static,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,147,147,166.0100000000,166.0100000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
24,12,3,static,weighted_tardy_jobs,0.9300000000,0.9300000000,0.000000,201,201,297.0200000000,297.0200000000,56.7300000000,56.7300000000,0.9300000000,0.9300000000
25,25,3,static,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,342,342,693.0900000000,693.0900000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
26,25,3,static,weighted_tardy_jobs,0.7000000000,0.7000000000,0.000000,278,278,308.5700000000,308.5700000000,48.1800000000,48.1800000000,0.7000000000,0.7000000000
27,25,3,static,weighted_tardy_jobs,0.9000000000,0.0000000000,100.000000,278,330,523.8200000000,608.6100000000,6.3000000000,0.0000000000,0.9000000000,0.0000000000
28,25,3,static,weighted_tardy_jobs,0.7100000000,0.0000000000,100.000000,294,286,525.6000000000,557.3700000000,4.9700000000,0.0000000000,0.7100000000,0.0000000000
29,25,3,static,weighted_tardy_jobs,4.1100000000,3.7400000000,9.002433,339,393,943.2000000000,999.4800000000,241.7200000000,310.4500000000,4.1100000000,3.7400000000
30,50,3,static,weighted_tardy_jobs,5.0800000000,4.6900000000,7.677165,614,614,1914.8700000000,1947.1200000000,897.6300000000,883.8900000000,5.0800000000,4.6900000000
31,50,3,static,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,567,567,1610.6500000000,1610.6500000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
32,50,3,static,weighted_tardy_jobs,2.0100000000,1.2200000000,39.303483,537,635,1517.6100000000,1536.4700000000,181.2900000000,189.9200000000,2.0100000000,1.2200000000
33,50,3,static,weighted_tardy_jobs,9.2500000000,8.8700000000,4.108108,572,609,1090.0400000000,1159.6500000000,594.6600000000,671.1100000000,9.2500000000,8.8700000000
34,50,3,static,weighted_tardy_jobs,1.1100000000,1.1100000000,0.000000,616,616,1617.3600000000,1617.3600000000,187.9200000000,187.9200000000,1.1100000000,1.1100000000
35,100,3,static,weighted_tardy_jobs,2.2300000000,1.1900000000,46.636771,1232,1375,5925.5500000000,6048.5700000000,157.2200000000,148.0700000000,2.2300000000,1.1900000000
36,100,3,static,weighted_tardy_jobs,3.5900000000,3.5500000000,1.114206,1114,1114,3549.7200000000,3602.4300000000,608.8500000000,621.1300000000,3.5900000000,3.5500000000
37,100,3,static,weighted_tardy_jobs,8.3400000000,8.3400000000,0.000000,1133,1133,5307.1200000000,5307.1200000000,2081.1600000000,2081.1600000000,8.3400000000,8.3400000000
38,100,3,static,weighted_tardy_jobs,17.0600000000,16.9700000000,0.527550,1174,1174,4124.9700000000,4340.0800000000,1598.0800000000,1666.0800000000,17.0600000000,16.9700000000
39,100,3,static,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,1216,1216,4501.5600000000,4501.5600000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
40,12,6,static,weighted_tardy_jobs,1.5200000000,0.0000000000,100.000000,86,67,182.7200000000,184.1400000000,5.2100000000,0.0000000000,1.5200000000,0.0000000000
41,12,6,static,weighted_tardy_jobs,0.4500000000,0.4500000000,0.000000,94,94,96.8100000000,96.8100000000,5.4000000000,5.4000000000,0.4500000000,0.4500000000
42,12,6,static,weighted_tardy_jobs,3.6200000000,2.9900000000,17.403315,98,138,173.0200000000,165.5700000000,105.2800000000,93.8500000000,3.6200000000,2.9900000000
43,12,6,static,weighted_tardy_jobs,2.5800000000,1.6000000000,37.984496,86,86,162.2200000000,160.5500000000,71.8000000000,74.4900000000,2.5800000000,1.6000000000
44,12,6,static,weighted_tardy_jobs,4.3700000000,4.3100000000,1.372998,116,116,166.1800000000,169.4600000000,104.6900000000,108.5100000000,4.3700000000,4.3100000000
45,25,6,static,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,120,120,182.4600000000,182.4600000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
46,25,6,static,weighted_tardy_jobs,0.1700000000,0.1700000000,0.000000,160,160,272.5300000000,272.5300000000,17.0000000000,17.0000000000,0.1700000000,0.1700000000
47,25,6,static,weighted_tardy_jobs,6.1100000000,5.8700000000,3.927987,128,246,234.4900000000,526.7500000000,76.0700000000,303.5300000000,6.1100000000,5.8700000000
48,25,6,static,weighted_tardy_jobs,4.6000000000,3.8900000000,15.434783,138,270,268.6000000000,766.3100000000,142.9700000000,510.1800000000,4.6000000000,3.8900000000
49,25,6,static,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,105,105,161.0500000000,161.0500000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
50,50,6,static,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,256,256,524.0800000000,524.0800000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
51,50,6,static,weighted_tardy_jobs,0.7500000000,0.7500000000,0.000000,222,222,485.7200000000,485.7200000000,13.5000000000,13.5000000000,0.7500000000,0.7500000000
52,50,6,static,weighted_tardy_jobs,6.8600000000,6.8600000000,0.000000,265,265,639.6300000000,639.6300000000,206.3300000000,206.3300000000,6.8600000000,6.8600000000
53,50,6,static,weighted_tardy_jobs,1.5700000000,0.6300000000,59.872611,259,246,487.1600000000,482.0400000000,26.7000000000,21.5400000000,1.5700000000,0.6300000000
54,50,6,static,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,207,207,405.4700000000,405.4700000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
55,100,6,static,weighted_tardy_jobs,0.9200000000,0.0000000000,100.000000,475,475,1236.1400000000,1308.4900000000,0.9200000000,0.0000000000,0.9200000000,0.0000000000
56,100,6,static,weighted_tardy_jobs,4.5100000000,3.7900000000,15.964523,480,492,1161.7000000000,1174.6800000000,176.9400000000,174.2800000000,4.5100000000,3.7900000000
57,100,6,static,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,462,462,832.5000000000,832.5000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
58,100,6,static,weighted_tardy_jobs,14.6400000000,13.2700000000,9.357923,454,482,1022.3200000000,1164.3600000000,330.4500000000,410.0200000000,14.6400000000,13.2700000000
59,100,6,static,weighted_tardy_jobs,16.2600000000,14.5600000000,10.455105,509,509,1523.4700000000,1590.5100000000,582.2100000000,579.8100000000,16.2600000000,14.5600000000
60,12,6,static,weighted_tardy_jobs,1.5100000000,0.4800000000,68.211921,101,122,214.7500000000,215.9700000000,30.3800000000,20.6400000000,1.5100000000,0.4800000000
61,12,6,static,weighted_tardy_jobs,0.9200000000,0.9200000000,0.000000,63,63,94.1800000000,94.1800000000,1.8400000000,1.8400000000,0.9200000000,0.9200000000
62,12,6,static,weighted_tardy_jobs,4.7600000000,4.0900000000,14.075630,105,118,152.7000000000,263.8700000000,97.9300000000,208.4600000000,4.7600000000,4.0900000000
63,12,6,static,weighted_tardy_jobs,0.5900000000,0.5900000000,0.000000,107,107,116.4700000000,116.4700000000,18.8800000000,18.8800000000,0.5900000000,0.5900000000
64,12,6,static,weighted_tardy_jobs,3.8300000000,3.8300000000,0.000000,73,73,119.5300000000,119.5300000000,72.3300000000,72.3300000000,3.8300000000,3.8300000000
65,25,6,static,weighted_tardy_jobs,1.4100000000,0.3000000000,78.723404,160,172,252.6800000000,303.3000000000,5.4300000000,12.9000000000,1.4100000000,0.3000000000
66,25,6,static,weighted_tardy_jobs,6.2000000000,6.2000000000,0.000000,165,165,375.2600000000,375.2600000000,175.1100000000,175.1100000000,6.2000000000,6.2000000000
67,25,6,static,weighted_tardy_jobs,1.1200000000,0.4800000000,57.142857,117,117,217.7200000000,212.2900000000,14.5900000000,4.1600000000,1.1200000000,0.4800000000
68,25,6,static,weighted_tardy_jobs,0.9200000000,0.9200000000,0.000000,182,182,414.2700000000,414.2700000000,101.2000000000,101.2000000000,0.9200000000,0.9200000000
69,25,6,static,weighted_tardy_jobs,2.3800000000,1.8900000000,20.588235,156,217,306.5100000000,495.4800000000,120.2200000000,153.4500000000,2.3800000000,1.8900000000
70,50,6,static,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,229,229,419.4200000000,419.4200000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
71,50,6,static,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,264,264,695.2000000000,695.2000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
72,50,6,static,weighted_tardy_jobs,0.8700000000,0.0000000000,100.000000,251,251,657.8100000000,705.1200000000,0.8700000000,0.0000000000,0.8700000000,0.0000000000
73,50,6,static,weighted_tardy_jobs,2.5200000000,2.4900000000,1.190476,237,237,531.2000000000,543.0300000000,67.0100000000,66.5000000000,2.5200000000,2.4900000000
74,50,6,static,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,252,252,359.5400000000,359.5400000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
75,100,6,static,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,422,422,1215.0000000000,1215.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
76,100,6,static,weighted_tardy_jobs,7.1700000000,6.5200000000,9.065551,478,478,1006.2500000000,1115.9400000000,90.7500000000,114.6800000000,7.1700000000,6.5200000000
77,100,6,static,weighted_tardy_jobs,5.2300000000,4.4700000000,14.531549,482,575,1401.1300000000,1461.9300000000,334.6200000000,389.7400000000,5.2300000000,4.4700000000
78,100,6,static,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,441,441,1278.5700000000,1278.5700000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
79,100,6,static,weighted_tardy_jobs,18.8700000000,18.8700000000,0.000000,498,498,1520.0500000000,1520.0500000000,625.2200000000,625.2200000000,18.8700000000,18.8700000000
80,25,10,static,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,96,96,107.9400000000,107.9400000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
81,25,10,static,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,96,96,104.8300000000,104.8300000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
82,25,10,static,weighted_tardy_jobs,6.8100000000,6.0600000000,11.013216,94,124,151.0800000000,221.1300000000,50.2900000000,120.3400000000,6.8100000000,6.0600000000
83,25,10,static,weighted_tardy_jobs,0.5400000000,0.0000000000,100.000000,102,84,188.0700000000,271.6000000000,3.2400000000,0.0000000000,0.5400000000,0.0000000000
84,25,10,static,weighted_tardy_jobs,3.6100000000,3.6100000000,0.000000,104,104,176.9700000000,176.9700000000,71.9400000000,71.9400000000,3.6100000000,3.6100000000
85,25,10,static,weighted_tardy_jobs,0.6000000000,0.6000000000,0.000000,96,96,146.4000000000,146.4000000000,3.6000000000,3.6000000000,0.6000000000,0.6000000000
86,25,10,static,weighted_tardy_jobs,1.5000000000,0.0000000000,100.000000,99,101,226.8500000000,225.3700000000,12.9800000000,0.0000000000,1.5000000000,0.0000000000
87,25,10,static,weighted_tardy_jobs,1.6800000000,1.6800000000,0.000000,100,100,176.1800000000,176.1800000000,40.6300000000,40.6300000000,1.6800000000,1.6800000000
88,25,10,static,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,71,71,114.4100000000,114.4100000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
89,25,10,static,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,91,91,116.0800000000,116.0800000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
90,50,10,static,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,153,153,323.6500000000,323.6500000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
91,50,10,static,weighted_tardy_jobs,5.9400000000,5.9400000000,0.000000,153,153,358.3700000000,358.3700000000,44.7300000000,44.7300000000,5.9400000000,5.9400000000
92,50,10,static,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,146,146,318.1300000000,318.1300000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
93,50,10,static,weighted_tardy_jobs,3.7000000000,3.2800000000,11.351351,139,151,338.8600000000,433.2900000000,61.8200000000,93.8900000000,3.7000000000,3.2800000000
94,50,10,static,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,137,137,247.1400000000,247.1400000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
95,100,10,static,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,266,266,595.4000000000,595.4000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
96,100,10,static,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,272,272,519.0700000000,519.0700000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
97,100,10,static,weighted_tardy_jobs,0.5500000000,0.5500000000,0.000000,296,296,593.2700000000,593.2700000000,23.6500000000,23.6500000000,0.5500000000,0.5500000000
98,100,10,static,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,279,279,635.4800000000,635.4800000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
99,100,10,static,weighted_tardy_jobs,7.6000000000,7.6000000000,0.000000,277,277,734.1000000000,734.1000000000,66.6100000000,66.6100000000,7.6000000000,7.6000000000
100,25,10,static,weighted_tardy_jobs,6.8400000000,6.6500000000,2.777778,87,106,218.5800000000,284.7300000000,95.0200000000,161.9300000000,6.8400000000,6.6500000000
101,25,10,static,weighted_tardy_jobs,0.4900000000,0.4900000000,0.000000,95,95,123.5300000000,123.5300000000,7.4200000000,7.4200000000,0.4900000000,0.4900000000
102,25,10,static,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,72,72,106.5000000000,106.5000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
103,25,10,static,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,96,96,182.9500000000,182.9500000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
104,25,10,static,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,68,68,112.4600000000,112.4600000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
105,25,10,static,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,77,77,196.5800000000,196.5800000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
106,25,10,static,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,83,83,114.6500000000,114.6500000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
107,25,10,static,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,83,83,107.0900000000,107.0900000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
108,25,10,static,weighted_tardy_jobs,6.2800000000,5.4900000000,12.579618,89,89,176.1900000000,181.8500000000,65.8200000000,60.2900000000,6.2800000000,5.4900000000
109,25,10,static,weighted_tardy_jobs,0.9300000000,0.9300000000,0.000000,74,74,97.3900000000,97.3900000000,4.8000000000,4.8000000000,0.9300000000,0.9300000000
110,50,10,static,weighted_tardy_jobs,0.0600000000,0.0600000000,0.000000,145,145,275.0700000000,275.0700000000,0.3000000000,0.3000000000,0.0600000000,0.0600000000
111,50,10,static,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,181,181,255.4700000000,255.4700000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
112,50,10,static,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,143,143,363.7100000000,363.7100000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
113,50,10,static,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,151,151,235.9800000000,235.9800000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
114,50,10,static,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,139,139,241.8600000000,241.8600000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
115,100,10,static,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,269,269,632.8600000000,632.8600000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
116,100,10,static,weighted_tardy_jobs,0.7000000000,0.0000000000,100.000000,266,266,650.1000000000,697.6700000000,7.7000000000,0.0000000000,0.7000000000,0.0000000000
117,100,10,static,weighted_tardy_jobs,3.3200000000,2.5300000000,23.795181,277,376,659.7900000000,812.9900000000,36.4800000000,26.3900000000,3.3200000000,2.5300000000
118,100,10,static,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,272,272,647.5900000000,647.5900000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
119,100,10,static,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,287,287,581.4500000000,581.4500000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
